Job Name,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Description,Bid Destination
LV30,,,12:30,12:30,12:30,12:30,12:30,Mon-Fri: BETPA>AILPA>BETPA>BRDPA>BETPA>LULPA>BETPA>ULNPA>BETPA,ULNPA
RDG3,,,12:30,12:30,12:30,12:30,12:30,Mon-Thu: BETPA>RDG1>BETPA>ULNPA>CRBNJ>TRENJ>BETPA Fri: BETPA>RDG1>BETPA>ULNPA>MEANJ>BETPA,CRBNJ
BUM4,,,13:00,13:00,13:00,13:00,13:00,Mon-Thu: BETPA>SMAPA>SMWPA>BETPA>ULNPA>CRBNJ>BETPA Fri: BETPA>SMAPA>SMWPA>BETPA>ULNPA>MEANJ>CRBNJ>BETPA,CRBNJ
LV18,,,13:00,13:00,13:00,13:00,,Mon: BETPA>NLTPA>BETPA>QVBPA>BETPA>MEANJ>BETPA Tue: BETPA>NLTPA>BETPA>QVBPA>BETPA Wed: BETPA>NLTPA>BETPA>QVBPA>BETPA>SADNJ>BETPA Thu: BETPA>NLTPA>BETPA>QVBPA>BETPA>PARNJ>SADNJ>BETPA,MEANJ
LV54,,,13:00,13:00,13:00,13:00,13:00,Mon: BETPA>MKSPA>BETPA>CR2PA>BETPA>GMCPA>BETPA>BAYNJ>BETPA Tue: BETPA>MKSPA>BETPA>CR2PA>BETPA>GMCPA>BETPA>TEN1>BETPA Wed: BETPA>MKSPA>BETPA>CR2PA>BETPA>GMCPA>BETPA Thu: BETPA>MKSPA>BETPA>CR2PA>BETPA>CRLPA>ALLPA>BETPA Fri: BETPA>MKSPA>BETPA>CR2PA>BETPA>GMCPA>BETPA>WILPA>BETPA,CRLPA
LV42,,,13:15,13:15,13:15,13:15,13:15,Mon-Thu: BETPA>AEHPA>BETPA>REAPA>EZRPA>ALLPA>BETPA Fri: BETPA>AEHPA>BETPA>REAPA>EZRPA>BETPA,EZRPA
BEMP,,,13:30,13:30,13:30,13:30,13:30,Mon-Fri: BETPA>VDKPA>BETPA>MYDPA>BETPA>MKSPA>Shift>SHBPA>BETPA>ULNPA>BETPA,ULNPA
BE04,,,13:30,13:30,13:30,13:30,13:30,Mon-Fri: BETPA>MKSPA>BETPA>MKSPA>BETPA>CRBNJ>BETPA,CRBNJ
BE05,,,13:30,13:30,13:30,13:30,13:30,"Mon: BETPA>SWTPA>BETPA>EZRPA>ALLPA>BETPA Tue, Fri: BETPA>SWTPA>BETPA>BAYNJ>BETPA Wed: BETPA>SWTPA>BETPA Thu: BETPA>SWTPA>BETPA>M43NY>BETPA",M43NY
BSH4,,,13:30,13:30,13:30,13:30,13:30,Mon: BETPA>TPCPA>BETPA>VRIPA>BETPA>ALLPA>BETPA Tue: BETPA>TPCPA>BETPA>VRIPA>BETPA>TEN1>BETPA Wed: BETPA>TPCPA>BETPA>VRIPA>BETPA>ALLPA>BETPA Thu: BETPA>TPCPA>BETPA>VRIPA>BETPA>Shift>HOVPA>BETPA Fri: BETPA>TPCPA>BETPA>VRIPA>BETPA>HOVPA>BETPA,TPCPA
LV10,,,13:30,13:30,13:30,13:30,13:30,Mon-Fri: BETPA>MHBPA>BETPA>ULIPA>ALLPA>BETPA,ULIPA
BE20,,,13:45,13:45,13:45,13:45,13:45,"Mon, Thu, Tue: BETPA>QVBPA>BETPA>ZRRPA>BETPA>SADNJ>BETPA Wed: BETPA>QVBPA>BETPA>ZRRPA>BETPA>BAYNJ>BETPA Fri: BETPA>QVBPA>BETPA>ZRRPA>BETPA>816>BETPA",SADNJ
BSH3,,,14:00,14:00,14:00,14:00,14:00,Mon-Fri: BETPA>INGPA>BETPA>ULNPA>BAYNJ>BETPA>Shift,BAYNJ
LV05,,,14:00,14:00,14:00,14:00,14:00,Mon-Thu: BETPA>CNSPA>BLRPA>KNOPA>BETPA>MKSPA>BETPA>MKSPA>BETPA>ULNPA>BETPA Fri: BETPA>CNSPA>BLRPA>KNOPA>BETPA>MKSPA>BETPA>MKSPA>BETPA,KNOPA
LV28,,,14:00,14:00,14:00,14:00,14:00,Mon-Thu: BETPA>ZRRPA>BETPA>ZARPA>BETPA>CCIPA>BETPA>MKSPA>Shift>BETPA Fri: BETPA>ZRRPA>BETPA>ZARPA>BETPA>CCIPA>BETPA,CCIPA
BEU3,,,14:15,14:15,14:15,14:15,14:15,Mon-Fri: BETPA>ULNPA>SYRNY>BETPA,SYRNY
LV16,,,14:15,14:15,14:15,14:15,14:15,Mon: BETPA>RALPA>BETPA>HBGRR>EZRPA>BETPA Tue: BETPA>RALPA>BETPA>Shift>BAYNJ>BETPA Wed: BETPA>RALPA>BETPA>EZRPA>ALLPA>BETPA Thu: BETPA>RALPA>BETPA>Shift>EZRPA>BETPA Fri: BETPA>RALPA>BETPA>180QV>BETPA>HBGRR>BETPA,EZRPA
LV26,,,14:15,14:15,14:15,14:15,14:15,Mon: BETPA>RALPA>BETPA>MAJPA>BETPA>ALLPA>PHLPA>BETPA Tue-Wed: BETPA>RALPA>BETPA>MAJPA>BETPA>ULNPA>CRBNJ>BETPA Thu: BETPA>RALPA>BETPA>MAJPA>BETPA>BAYNJ>BETPA Fri: BETPA>RALPA>BETPA>MAJPA>BETPA,CRBNJ
LV13,,,14:20,14:20,14:20,14:20,14:20,Mon-Thu: BETPA>MKSPA>BETPA>MKSPA>BETPA>MKSPA>BETPA>ULNPA>BETPA Fri: BETPA>MKSPA>BETPA>MKSPA>BETPA>MKSPA>BETPA,ULNPA
LV15,,,14:25,14:25,14:25,14:25,14:25,Mon-Thu: BETPA>OLYPA>BETPA>NCTPA>BETPA>BRUPA>BETPA Fri: BETPA>OLYPA>BETPA>NCTPA>BETPA>Shift>BURMD>BETPA,OLYPA
LV37,,,14:30,14:30,14:30,14:30,14:30,Mon: BETPA>180QV>BETPA>SVCPA>BETPA>MKSPA>ALLPA>EZRPA>BETPA Tue: BETPA>180QV>BETPA>SVCPA>BETPA>MKSPA>ALLPA>BETPA>WILPA>ALLPA>BETPA Wed: BETPA>180QV>BETPA>SVCPA>BETPA>MKSPA>ALLPA>BETPA>SADNJ>BETPA Thu: BETPA>180QV>BETPA>SVCPA>BETPA>MKSPA>ALLPA>BETPA Fri: BETPA>180QV>BETPA>SVCPA>BETPA>MKSPA>ALLPA>BETPA>HBGRR>BETPA,EZRPA
