Job Name,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Description,Bid Destination
BNAS,,,21:15,21:15,21:15,21:15,21:15,Mon: BETPA>EDINJ>EASNJ>PARNJ>EZRPA>BETPA Tue: BETPA>PARNJ>BETPA>Shift>ALLPA>BETPA Wed: BETPA>PARNJ>BETPA>Shift>HBGRR>BETPA Thu: BETPA>PARNJ>BETPA>ALLPA>BETPA Fri: BETPA>PARNJ>BETPA>Shift,EZRPA
LV71,,,21:15,,21:00,21:15,21:15,Mon: BETPA>BALMD>BURMD>EZRPA>BETPA Wed: BETPA>PRORI>BETPA Thu: BETPA>RUTPA>CRLPA>BETPA>ALLPA>WILPA>BETPA Fri: BETPA>EZRPA>ALLPA>EZRPA>BETPA,PRORI
LV85,,,21:15,21:15,,21:15,21:00,Mon: BETPA>EZRPA>BETPA>WILPA>BETPA Tue: BETPA>WILPA>BETPA Thu: BETPA>HBGRR>EZRPA>BETPA Fri: BETPA>ALLPA>BETPA>RUTPA>BETPA>RUTPA>BETPA,EZRPA
BBAL,,,21:15,21:15,21:15,21:15,21:15,Mon: BETPA>BALMD>GAIMD>BETPA Tue-Fri: BETPA>BALMD>BETPA,GAIMD
BCT1,,,21:30,21:30,,21:00,21:00,"Mon, Fri, Tue: BETPA>HARCT>BETPA Thu: BETPA>STRCT>HARCT>BETPA",HARCT
BC02,,,21:30,21:30,21:00,,21:30,Mon-Tue: BETPA>STAVA>BETPA Wed: BETPA>EZRPA>BETPA Fri: BETPA>ALLPA>BAYNJ>CRLPA>BETPA,STAVA
BHA4,,,21:45,21:45,21:45,21:45,21:45,Mon: BETPA>NORCT>PARNJ>BETPA>ALLPA>BETPA Tue-Thu: BETPA>NORCT>PARNJ>BETPA>OLPPA>BETPA Fri: BETPA>NORCT>PARNJ>BETPA,NORCT
BLP1,,,22:00,22:00,22:00,22:00,,Mon-Fri: BETPA>Shift>LANPA>BETPA,LANPA
BMDT,,,22:00,22:00,22:00,,,Mon-Thu: BETPA>Shift>FLPPA>BETPA>Shift>EWR55>BETPA,EWR55
BMR2,,,22:00,,22:00,22:00,22:00,"Mon, Thu, Fri, Wed: BETPA>WORMA>BETPA",WORMA
BC01,,,22:00,22:30,22:30,22:30,22:30,"Mon: BETPA>EZRPA>CRLPA>SCRPA>BETPA Tue: BETPA>EZRPA>CRLPA>BETPA Wed, Fri: BETPA>HBGRR>CRLPA>SCRPA>BETPA Thu: BETPA>CRLPA>SCRPA>BETPA",CRLPA
LV06,,,22:00,22:00,22:00,21:00,,Mon: BETPA>CRBNJ>WILPA>ALLPA>BETPA>HBGRR>BETPA Tue: BETPA>NEWPA>BETPA Wed: BETPA>EZRPA>BETPA Thu: BETPA>CRBNJ>WILPA>ALLPA>BETPA Fri: BETPA>SYRNY>BETPA,NEWPA
LV19,,,22:00,22:00,22:00,21:00,,Mon-Tue: BETPA>DULVA>BETPA Wed-Thu: BETPA>BURMD>DULVA>BETPA Fri: BETPA>CRBNJ>EZRPA>BETPA,DULVA
BWW1,,,0:00,0:00,0:00,0:00,0:00,"Tue, Fri: BETPA>WCHPA>BETPA>WILPA>BETPA Wed: BETPA>WCHPA>BETPA>TEN1>BETPA Thu: BETPA>WCHPA>BETPA>WILPA>BETPA>QVBPA>BETPA Sat: BETPA>WCHPA>BETPA>HBGRR>BETPA",WCHPA
BRE1,,,0:00,0:00,0:00,0:00,0:00,Tue: BETPA>OREPA>PHLPA>ALLPA>BETPA>EZRPA>BETPA Wed: BETPA>OREPA>PHLPA>ALLPA>BETPA>Shift Thu-Fri: BETPA>OREPA>WILPA>ALLPA>BETPA>RUTPA>EZRPA>BETPA Sat: BETPA>OREPA>PHLPA>ALLPA>BETPA,EZRPA
BC03,,,0:15,0:15,0:15,,,Tue-Fri: BETPA>CRLPA>BETPA>AVP9>BETPA,CRLPA
BWW2,,,0:30,0:30,0:30,0:30,0:30,Tue: BETPA>WILPA>BETPA>TEN1>BETPA Wed: BETPA>WILPA>ALLPA>BETPA>EZRPA>BETPA Thu: BETPA>WILPA>BETPA>EZRPA>BETPA Fri: BETPA>WILPA>BETPA>RUTPA>EZRPA>AMMPA>BETPA Sat: BETPA>WILPA>BETPA>HBGRR>BETPA,EZRPA
LV81,,,1:00,1:00,1:00,1:00,,"Tue, Thu: BETPA>TOMVA>EZRPA>BETPA Wed, Fri: BETPA>TOMVA>BETPA",TOMVA
LV07,,,2:00,,,2:00,2:00,Tue: BETPA>NWTVA>EZRPA>BETPA Thu: BETPA>Shift>HBGRR>EZRPA>AMMPA>BETPA Fri: BETPA>HBGRR>EZRPA>BETPA Sat: BETPA>Shift>REAPA>BETPA>EZRPA>BETPA,NWTVA
LV32,,,2:30,4:00,,4:00,4:00,Tue: BETPA>TOMVA>BETPA Wed: BETPA>NEWPA>EZRPA>ALLPA>BETPA Fri: BETPA>NEWPA>BETPA Sat: BETPA>EZRPA>NCTPA>BETPA>CMPPA>ZRRPA>BETPA,NEWPA
BEN3,,,3:00,3:00,,4:00,4:00,Tue: BETPA>NEWPA>BETPA Wed: BETPA>NEWPA>EZRPA>BETPA Fri: BETPA>HBGRR>EZRPA>BETPA Sat: BETPA>NWTVA>BETPA,NEWPA
BSS2,,,3:15,3:15,3:15,3:15,3:45,Tue-Sat: BETPA>SYRNY>BETPA,SYRNY
BNE1,,,3:15,3:15,3:15,3:15,,"Tue, Thu: BETPA>NEWPA>EZRPA>BETPA Wed: BETPA>NEWPA>CRLPA>BETPA Fri: BETPA>NEWPA>BETPA",NEWPA
BHP2,,,3:15,3:15,3:15,3:15,,Tue: BETPA>BOMD>HALMD>BETPA Wed: BETPA>BOMD>BALMD>NWTVA>BETPA Thu-Fri: BETPA>EZRPA>BETPA>TEN1>BETPA,BALMD NWTVA
BHR1,,,3:15,3:15,3:15,3:15,3:15,Tue-Thu: BETPA>HARDE>BETPA>NCTPA>BETPA Fri: BETPA>HARDE>BETPA>UNXPA>BETPA Sat: BETPA>HARDE>BETPA>TEN1>BETPA,HARDE
BNW1,,,3:15,3:15,3:15,3:15,3:15,Tue-Fri: BETPA>NWCDE>CHRDE>BETPA>RDG1>BETPA Sat: BETPA>NWCDE>CHRDE>BETPA>TEN1>BETPA,CHRDE
